,time,rank,artist,song,sales
1366,03/29/2017 06:54,3,The Chainsmokers & Coldplay,Something Just Like This,10083
1367,03/29/2017 07:25,3,The Chainsmokers & Coldplay,Something Just Like This,9701
1368,03/29/2017 07:55,3,The Chainsmokers & Coldplay,Something Just Like This,10081
1369,03/29/2017 08:25,3,The Chainsmokers & Coldplay,Something Just Like This,10080
1370,03/29/2017 08:55,3,The Chainsmokers & Coldplay,Something Just Like This,9876
1371,03/29/2017 10:30,3,The Chainsmokers & Coldplay,Something Just Like This,10095
1372,03/29/2017 11:00,3,The Chainsmokers & Coldplay,Something Just Like This,9888
1373,03/29/2017 11:30,3,The Chainsmokers & Coldplay,Something Just Like This,9888
1374,03/29/2017 12:00,3,The Chainsmokers & Coldplay,Something Just Like This,9889
1375,03/29/2017 12:30,3,The Chainsmokers & Coldplay,Something Just Like This,9890
1376,03/29/2017 13:00,3,The Chainsmokers & Coldplay,Something Just Like This,9891
1377,03/29/2017 13:30,3,The Chainsmokers & Coldplay,Something Just Like This,9892
1378,03/29/2017 14:00,3,The Chainsmokers & Coldplay,Something Just Like This,9832
1379,03/29/2017 14:30,3,The Chainsmokers & Coldplay,Something Just Like This,9833
1380,03/29/2017 15:00,3,The Chainsmokers & Coldplay,Something Just Like This,9948
1381,03/29/2017 15:30,3,The Chainsmokers & Coldplay,Something Just Like This,10040
1382,03/29/2017 16:00,3,The Chainsmokers & Coldplay,Something Just Like This,10041
1383,03/29/2017 21:16,3,The Chainsmokers & Coldplay,Something Just Like This,9857
1384,03/29/2017 21:46,3,The Chainsmokers & Coldplay,Something Just Like This,9912
1385,03/29/2017 22:16,3,The Chainsmokers & Coldplay,Something Just Like This,9914
1386,03/29/2017 22:46,3,The Chainsmokers & Coldplay,Something Just Like This,9915
1387,03/29/2017 23:16,3,The Chainsmokers & Coldplay,Something Just Like This,9671
1388,03/29/2017 23:47,3,The Chainsmokers & Coldplay,Something Just Like This,9673
1389,03/30/2017 00:17,3,The Chainsmokers & Coldplay,Something Just Like This,9688
1390,03/30/2017 00:47,3,The Chainsmokers & Coldplay,Something Just Like This,9690
1391,03/30/2017 01:17,3,The Chainsmokers & Coldplay,Something Just Like This,9637
1392,03/30/2017 01:47,3,The Chainsmokers & Coldplay,Something Just Like This,9694
1393,03/30/2017 02:17,3,The Chainsmokers & Coldplay,Something Just Like This,9641
1394,03/30/2017 02:47,3,The Chainsmokers & Coldplay,Something Just Like This,9795
1395,03/30/2017 03:17,3,The Chainsmokers & Coldplay,Something Just Like This,9798
1396,03/30/2017 03:47,3,The Chainsmokers & Coldplay,Something Just Like This,9544
1397,03/30/2017 04:17,3,The Chainsmokers & Coldplay,Something Just Like This,9547
1398,03/30/2017 04:47,3,The Chainsmokers & Coldplay,Something Just Like This,9549
1399,03/30/2017 05:17,3,The Chainsmokers & Coldplay,Something Just Like This,9724
1400,03/30/2017 05:47,4,The Chainsmokers & Coldplay,Something Just Like This,9768
1401,03/30/2017 06:17,4,The Chainsmokers & Coldplay,Something Just Like This,9771
1402,03/30/2017 06:47,4,The Chainsmokers & Coldplay,Something Just Like This,9774
1403,03/30/2017 07:17,4,The Chainsmokers & Coldplay,Something Just Like This,9777
1404,03/30/2017 07:47,4,The Chainsmokers & Coldplay,Something Just Like This,9780
1405,03/30/2017 08:17,4,The Chainsmokers & Coldplay,Something Just Like This,9783
1406,03/30/2017 08:47,4,The Chainsmokers & Coldplay,Something Just Like This,10091
1407,03/30/2017 09:17,4,The Chainsmokers & Coldplay,Something Just Like This,10095
1408,03/30/2017 10:57,4,The Chainsmokers & Coldplay,Something Just Like This,10093
1409,03/30/2017 11:27,4,The Chainsmokers & Coldplay,Something Just Like This,10188
1410,03/30/2017 11:57,4,The Chainsmokers & Coldplay,Something Just Like This,10193
1411,03/30/2017 12:27,4,The Chainsmokers & Coldplay,Something Just Like This,10197
1412,03/30/2017 12:57,4,The Chainsmokers & Coldplay,Something Just Like This,10163
1413,03/30/2017 13:27,4,The Chainsmokers & Coldplay,Something Just Like This,10102
1414,03/30/2017 13:57,4,The Chainsmokers & Coldplay,Something Just Like This,10172
1415,03/30/2017 14:27,4,The Chainsmokers & Coldplay,Something Just Like This,10257
1416,03/30/2017 14:57,4,The Chainsmokers & Coldplay,Something Just Like This,10262
1417,03/30/2017 15:27,4,The Chainsmokers & Coldplay,Something Just Like This,10266
1418,03/30/2017 15:57,4,The Chainsmokers & Coldplay,Something Just Like This,10381
1419,03/30/2017 16:27,4,The Chainsmokers & Coldplay,Something Just Like This,10387
1420,03/30/2017 16:57,4,The Chainsmokers & Coldplay,Something Just Like This,10392
1421,03/30/2017 17:27,4,The Chainsmokers & Coldplay,Something Just Like This,10216
1422,03/30/2017 17:57,4,The Chainsmokers & Coldplay,Something Just Like This,10235
1423,03/30/2017 18:27,4,The Chainsmokers & Coldplay,Something Just Like This,10241
1424,03/30/2017 20:00,4,The Chainsmokers & Coldplay,Something Just Like This,10184
1425,03/30/2017 20:30,4,The Chainsmokers & Coldplay,Something Just Like This,10191
1426,03/30/2017 21:00,4,The Chainsmokers & Coldplay,Something Just Like This,10198
1427,03/30/2017 21:30,4,The Chainsmokers & Coldplay,Something Just Like This,10206
1428,03/30/2017 22:00,4,The Chainsmokers & Coldplay,Something Just Like This,9986
1429,03/30/2017 22:30,4,The Chainsmokers & Coldplay,Something Just Like This,9993
1430,03/30/2017 23:00,4,The Chainsmokers & Coldplay,Something Just Like This,14845
1431,03/30/2017 23:30,4,The Chainsmokers & Coldplay,Something Just Like This,14857
1432,03/31/2017 00:00,4,The Chainsmokers & Coldplay,Something Just Like This,14869
1433,03/31/2017 00:30,4,The Chainsmokers & Coldplay,Something Just Like This,14882
1434,03/31/2017 01:00,4,The Chainsmokers & Coldplay,Something Just Like This,14895
1435,03/31/2017 01:30,4,The Chainsmokers & Coldplay,Something Just Like This,9545
1436,03/31/2017 02:00,4,The Chainsmokers & Coldplay,Something Just Like This,9554
1437,03/31/2017 02:30,4,The Chainsmokers & Coldplay,Something Just Like This,9563
1438,03/31/2017 03:00,4,The Chainsmokers & Coldplay,Something Just Like This,9573
1439,03/31/2017 03:31,4,The Chainsmokers & Coldplay,Something Just Like This,9583
1440,03/31/2017 04:01,3,The Chainsmokers & Coldplay,Something Just Like This,9529
1441,03/31/2017 04:31,3,The Chainsmokers & Coldplay,Something Just Like This,9904
1442,03/31/2017 05:01,3,The Chainsmokers & Coldplay,Something Just Like This,14769
1443,03/31/2017 05:31,3,The Chainsmokers & Coldplay,Something Just Like This,14786
1444,03/31/2017 06:01,3,The Chainsmokers & Coldplay,Something Just Like This,14804
1445,03/31/2017 06:31,4,The Chainsmokers & Coldplay,Something Just Like This,9685
1446,03/31/2017 07:01,4,The Chainsmokers & Coldplay,Something Just Like This,10073
1447,03/31/2017 07:31,4,The Chainsmokers & Coldplay,Something Just Like This,10086
1448,03/31/2017 08:01,4,The Chainsmokers & Coldplay,Something Just Like This,10100
1449,03/31/2017 08:31,4,The Chainsmokers & Coldplay,Something Just Like This,10114
1450,03/31/2017 09:01,6,The Chainsmokers & Coldplay,Something Just Like This,10039
1451,03/31/2017 09:31,6,The Chainsmokers & Coldplay,Something Just Like This,16406
1452,03/31/2017 10:01,6,The Chainsmokers & Coldplay,Something Just Like This,16430
1453,03/31/2017 10:33,6,The Chainsmokers & Coldplay,Something Just Like This,16457
1454,03/31/2017 11:03,6,The Chainsmokers & Coldplay,Something Just Like This,9977
1455,03/31/2017 11:33,6,The Chainsmokers & Coldplay,Something Just Like This,9994
1456,03/31/2017 12:03,6,The Chainsmokers & Coldplay,Something Just Like This,10010
1457,03/31/2017 12:33,6,The Chainsmokers & Coldplay,Something Just Like This,10028
1458,03/31/2017 13:03,6,The Chainsmokers & Coldplay,Something Just Like This,9926
1459,03/31/2017 13:33,6,The Chainsmokers & Coldplay,Something Just Like This,9944
1460,03/31/2017 14:03,6,The Chainsmokers & Coldplay,Something Just Like This,10009
1461,03/31/2017 14:33,6,The Chainsmokers & Coldplay,Something Just Like This,10028
1462,03/31/2017 15:03,6,The Chainsmokers & Coldplay,Something Just Like This,10048
1463,03/31/2017 15:33,6,The Chainsmokers & Coldplay,Something Just Like This,9991
1464,03/31/2017 16:03,6,The Chainsmokers & Coldplay,Something Just Like This,10012
1465,03/31/2017 16:33,6,The Chainsmokers & Coldplay,Something Just Like This,10033
1466,03/31/2017 17:03,6,The Chainsmokers & Coldplay,Something Just Like This,10055
1467,03/31/2017 17:33,6,The Chainsmokers & Coldplay,Something Just Like This,10273
1468,03/31/2017 18:03,6,The Chainsmokers & Coldplay,Something Just Like This,10296
1469,03/31/2017 18:34,6,The Chainsmokers & Coldplay,Something Just Like This,10371
1470,03/31/2017 19:04,6,The Chainsmokers & Coldplay,Something Just Like This,10396
1471,03/31/2017 19:34,6,The Chainsmokers & Coldplay,Something Just Like This,10421
1472,03/31/2017 20:04,6,The Chainsmokers & Coldplay,Something Just Like This,10136
1473,03/31/2017 20:34,6,The Chainsmokers & Coldplay,Something Just Like This,10261
1474,03/31/2017 21:04,6,The Chainsmokers & Coldplay,Something Just Like This,10288
1475,03/31/2017 21:34,6,The Chainsmokers & Coldplay,Something Just Like This,10315
1476,03/31/2017 22:04,6,The Chainsmokers & Coldplay,Something Just Like This,10343
1477,03/31/2017 22:34,6,The Chainsmokers & Coldplay,Something Just Like This,10134
1478,03/31/2017 23:04,6,The Chainsmokers & Coldplay,Something Just Like This,10163
1479,03/31/2017 23:34,6,The Chainsmokers & Coldplay,Something Just Like This,10192
1480,04/01/2017 00:04,6,The Chainsmokers & Coldplay,Something Just Like This,10222
1481,04/01/2017 00:34,6,The Chainsmokers & Coldplay,Something Just Like This,10252
1482,04/01/2017 01:04,6,The Chainsmokers & Coldplay,Something Just Like This,10283
1483,04/01/2017 01:34,6,The Chainsmokers & Coldplay,Something Just Like This,10314
1484,04/01/2017 02:04,6,The Chainsmokers & Coldplay,Something Just Like This,10241
1485,04/01/2017 02:34,6,The Chainsmokers & Coldplay,Something Just Like This,10347
1486,04/01/2017 03:04,6,The Chainsmokers & Coldplay,Something Just Like This,10380
1487,04/01/2017 03:34,6,The Chainsmokers & Coldplay,Something Just Like This,10413
1488,04/01/2017 04:04,6,The Chainsmokers & Coldplay,Something Just Like This,10447
1489,04/01/2017 04:34,5,The Chainsmokers & Coldplay,Something Just Like This,10279
1490,04/01/2017 05:04,5,The Chainsmokers & Coldplay,Something Just Like This,10313
1491,04/01/2017 05:34,5,The Chainsmokers & Coldplay,Something Just Like This,10500
1492,04/01/2017 06:05,5,The Chainsmokers & Coldplay,Something Just Like This,10535
1493,04/01/2017 06:35,5,The Chainsmokers & Coldplay,Something Just Like This,10570
1494,04/01/2017 07:05,5,The Chainsmokers & Coldplay,Something Just Like This,10810
1495,04/01/2017 07:35,5,The Chainsmokers & Coldplay,Something Just Like This,14391
1496,04/01/2017 08:05,5,The Chainsmokers & Coldplay,Something Just Like This,14439
1497,04/01/2017 08:35,5,The Chainsmokers & Coldplay,Something Just Like This,14487
1498,04/01/2017 09:05,5,The Chainsmokers & Coldplay,Something Just Like This,10628
1499,04/01/2017 09:35,5,The Chainsmokers & Coldplay,Something Just Like This,10662
1500,04/01/2017 10:05,5,The Chainsmokers & Coldplay,Something Just Like This,10697
1501,04/01/2017 10:35,5,The Chainsmokers & Coldplay,Something Just Like This,10731
1502,04/01/2017 11:05,5,The Chainsmokers & Coldplay,Something Just Like This,10765
1503,04/01/2017 11:35,5,The Chainsmokers & Coldplay,Something Just Like This,11178
1504,04/01/2017 12:05,5,The Chainsmokers & Coldplay,Something Just Like This,11211
1505,04/01/2017 12:35,5,The Chainsmokers & Coldplay,Something Just Like This,11244
1506,04/01/2017 13:05,5,The Chainsmokers & Coldplay,Something Just Like This,11277
1507,04/01/2017 13:35,5,The Chainsmokers & Coldplay,Something Just Like This,11308
1508,04/01/2017 14:05,5,The Chainsmokers & Coldplay,Something Just Like This,11326
1509,04/01/2017 14:35,5,The Chainsmokers & Coldplay,Something Just Like This,11355
1510,04/01/2017 15:05,5,The Chainsmokers & Coldplay,Something Just Like This,11383
1511,04/01/2017 15:35,5,The Chainsmokers & Coldplay,Something Just Like This,11409
1512,04/01/2017 16:05,5,The Chainsmokers & Coldplay,Something Just Like This,11365
1513,04/01/2017 16:36,5,The Chainsmokers & Coldplay,Something Just Like This,12011
1514,04/01/2017 17:06,5,The Chainsmokers & Coldplay,Something Just Like This,12277
1515,04/01/2017 17:36,5,The Chainsmokers & Coldplay,Something Just Like This,11429
1516,04/01/2017 18:06,5,The Chainsmokers & Coldplay,Something Just Like This,12317
1517,04/01/2017 18:36,4,The Chainsmokers & Coldplay,Something Just Like This,11258
1518,04/01/2017 19:06,4,The Chainsmokers & Coldplay,Something Just Like This,11271
1519,04/01/2017 19:36,4,The Chainsmokers & Coldplay,Something Just Like This,11283
1520,04/01/2017 20:06,4,The Chainsmokers & Coldplay,Something Just Like This,11292
1521,04/01/2017 20:36,4,The Chainsmokers & Coldplay,Something Just Like This,11299
1522,04/01/2017 21:06,4,The Chainsmokers & Coldplay,Something Just Like This,11304
1523,04/01/2017 21:36,4,The Chainsmokers & Coldplay,Something Just Like This,11349
1524,04/01/2017 22:06,4,The Chainsmokers & Coldplay,Something Just Like This,11349
1525,04/01/2017 22:36,4,The Chainsmokers & Coldplay,Something Just Like This,11348
1526,04/01/2017 23:06,4,The Chainsmokers & Coldplay,Something Just Like This,11472
1527,04/01/2017 23:36,4,The Chainsmokers & Coldplay,Something Just Like This,11466
1528,04/02/2017 00:06,4,The Chainsmokers & Coldplay,Something Just Like This,11457
1529,04/02/2017 00:36,4,The Chainsmokers & Coldplay,Something Just Like This,11514
1530,04/02/2017 01:06,4,The Chainsmokers & Coldplay,Something Just Like This,11502
1531,04/02/2017 01:36,4,The Chainsmokers & Coldplay,Something Just Like This,11643
1532,04/02/2017 02:06,4,The Chainsmokers & Coldplay,Something Just Like This,11444
1533,04/02/2017 02:37,4,The Chainsmokers & Coldplay,Something Just Like This,11608
1534,04/02/2017 03:07,4,The Chainsmokers & Coldplay,Something Just Like This,11587
1535,04/02/2017 03:37,4,The Chainsmokers & Coldplay,Something Just Like This,11288
1536,04/02/2017 04:07,4,The Chainsmokers & Coldplay,Something Just Like This,11264
1537,04/02/2017 04:37,4,The Chainsmokers & Coldplay,Something Just Like This,11239
1538,04/02/2017 05:07,4,The Chainsmokers & Coldplay,Something Just Like This,11213
1539,04/02/2017 05:37,4,The Chainsmokers & Coldplay,Something Just Like This,11185
1540,04/02/2017 06:07,4,The Chainsmokers & Coldplay,Something Just Like This,11254
1541,04/02/2017 06:37,4,The Chainsmokers & Coldplay,Something Just Like This,11377
1542,04/02/2017 07:07,4,The Chainsmokers & Coldplay,Something Just Like This,11345
1543,04/02/2017 07:37,4,The Chainsmokers & Coldplay,Something Just Like This,11516
1544,04/02/2017 08:07,4,The Chainsmokers & Coldplay,Something Just Like This,11482
